gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall
2022R309,2022.0,R3,03-Apr-2022,Perth Stadium,4:20 PM,0.0,West Coast,47.0,Fremantle,102.0,0.0
2022R308,2022.0,R3,03-Apr-2022,Docklands,3:20 PM,31933.0,St Kilda,117.0,Richmond,84.0,0.0
2022R307,2022.0,R3,03-Apr-2022,M.C.G.,1:10 PM,66317.0,Carlton,74.0,Hawthorn,73.0,0.0
2022R306,2022.0,R3,02-Apr-2022,M.C.G.,7:25 PM,52974.0,Collingwood,91.0,Geelong,104.0,0.0
2022R305,2022.0,R3,02-Apr-2022,Gabba,7:00 PM,19817.0,Brisbane Lions,156.0,North Melbourne,48.0,0.0
2022R304,2022.0,R3,02-Apr-2022,Sydney Showground,4:35 PM,4014.0,Greater Western Sydney,83.0,Gold Coast,57.0,0.0
2022R303,2022.0,R3,01-Apr-2022,Adelaide Oval,7:50 PM,39190.0,Adelaide,96.0,Port Adelaide,92.0,0.0
2022R302,2022.0,R3,01-Apr-2022,M.C.G.,7:20 PM,44503.0,Melbourne,99.0,Essendon,70.0,0.0
2022R301,2022.0,R3,31-Mar-2022,Docklands,7:20 PM,24327.0,Western Bulldogs,71.0,Sydney,60.0,0.0
2022R209,2022.0,R2,27-Mar-2022,Perth Stadium,3:20 PM,25284.0,Fremantle,55.0,St Kilda,65.0,0.0
2022R208,2022.0,R2,27-Mar-2022,M.C.G.,3:20 PM,28813.0,Richmond,109.0,Greater Western Sydney,73.0,0.0
2022R207,2022.0,R2,27-Mar-2022,Docklands,1:10 PM,14204.0,North Melbourne,74.0,West Coast,59.0,0.0
2022R206,2022.0,R2,26-Mar-2022,Adelaide Oval,7:10 PM,30267.0,Port Adelaide,56.0,Hawthorn,120.0,0.0
2022R205,2022.0,R2,26-Mar-2022,Carrara,7:00 PM,8280.0,Gold Coast,69.0,Melbourne,82.0,0.0
2022R204,2022.0,R2,26-Mar-2022,Docklands,4:35 PM,30631.0,Essendon,75.0,Brisbane Lions,97.0,0.0
2022R203,2022.0,R2,26-Mar-2022,M.C.G.,1:45 PM,36843.0,Collingwood,100.0,Adelaide,58.0,0.0
2022R202,2022.0,R2,25-Mar-2022,S.C.G.,7:50 PM,36578.0,Sydney,107.0,Geelong,77.0,0.0
2022R201,2022.0,R2,24-Mar-2022,Docklands,7:20 PM,34961.0,Western Bulldogs,90.0,Carlton,102.0,0.0
2022R109,2022.0,R1,20-Mar-2022,Perth Stadium,4:40 PM,20932.0,West Coast,80.0,Gold Coast,107.0,0.0
